latitud,longitud
-52.0,-60.0
-52.0,-59.0
-51.0,-71.0
-50.0,-71.0
-50.0,-70.0
-50.0,-69.0
-49.0,-72.0
-49.0,-69.0
-48.0,-72.0
-48.0,-71.0
-48.0,-69.0
-48.0,-68.0
-48.0,-67.0
-47.0,-70.0
-47.0,-69.0
-47.0,-68.0
-47.0,-67.0
-46.0,-70.0
-46.0,-69.0
-45.0,-71.0
-45.0,-70.0
-45.0,-69.0
-45.0,-66.0
-44.0,-71.0
-44.0,-70.0
-44.0,-69.0
-44.0,-68.0
-44.0,-67.0
-44.0,-66.0
-43.0,-70.0
-43.0,-69.0
-43.0,-68.0
-43.0,-67.0
-42.0,-70.0
-42.0,-68.0
-42.0,-67.0
-42.0,-66.0
-41.0,-70.0
-41.0,-67.0
-41.0,-66.0
-41.0,-64.0
-40.0,-71.0
-40.0,-70.0
-40.0,-69.0
-40.0,-68.0
-40.0,-67.0
-40.0,-66.0
-40.0,-64.0
-39.0,-71.0
-39.0,-70.0
-39.0,-67.0
-39.0,-66.0
-39.0,-65.0
-39.0,-64.0
-38.0,-71.0
-38.0,-70.0
-38.0,-69.0
-38.0,-67.0
-38.0,-66.0
-38.0,-65.0
-38.0,-64.0
-37.0,-71.0
-37.0,-70.0
-37.0,-69.0
-37.0,-68.0
-37.0,-67.0
-37.0,-66.0
-36.0,-68.0
-36.0,-67.0
-36.0,-66.0
-35.0,-67.0
-35.0,-66.0
-35.0,-65.0
-34.0,-60.0
-33.0,-70.0
-32.0,-70.0
-32.0,-67.0
-32.0,-59.0
-31.0,-70.0
-31.0,-63.0
-31.0,-62.0
-31.0,-59.0
-30.0,-65.0
-30.0,-59.0
-29.0,-69.0
-29.0,-63.0
-29.0,-61.0
-29.0,-58.0
-28.0,-69.0
-28.0,-63.0
-28.0,-62.0
-28.0,-61.0
-28.0,-60.0
-28.0,-57.0
-27.0,-68.0
-27.0,-67.0
-27.0,-63.0
-27.0,-62.0
-26.0,-68.0
-26.0,-67.0
-26.0,-66.0
-26.0,-64.0
-26.0,-63.0
-26.0,-62.0
-25.0,-68.0
-25.0,-67.0
-25.0,-64.0
-25.0,-63.0
-25.0,-62.0
-25.0,-59.0
-24.0,-67.0
-24.0,-63.0
-24.0,-62.0
-23.0,-62.0
